date	value	lower_ci	upper_ci	incidence	scenario
2021-03-15	11383166	10670946	12175594	NA	4 week lockdown
2021-03-16	11396888	10560729	12252014	13722	4 week lockdown
2021-03-17	11408544	10437048	12446062	11656	4 week lockdown
2021-03-18	11421110	10371043	12537449	12566	4 week lockdown
2021-03-19	11421582	10275350	12661099	472	4 week lockdown
2021-03-20	11425522	10231714	12730049	3940	4 week lockdown
2021-03-21	11435104	10141263	12817196	9582	4 week lockdown
2021-03-22	11444823	10066636	12957177	9719	4 week lockdown
2021-03-23	11455544	10009703	13045858	10721	4 week lockdown
2021-03-24	11460790	9885190	13088045	5246	4 week lockdown
2021-03-25	11469860	9896896	13178945	9070	4 week lockdown
2021-03-26	11479247	9864214	13260745	9387	4 week lockdown
2021-03-27	11496264	9758885	13288385	17017	4 week lockdown
2021-03-28	11499179	9758474	13332585	2915	4 week lockdown
2021-03-29	11513348	9784705	13435134	14169	4 week lockdown
2021-03-30	11517208	9711878	13536981	3860	4 week lockdown
2021-03-31	11524360	9722085	13558375	7152	4 week lockdown
2021-04-01	11522853	9611929	13642820	-1507	4 week lockdown
2021-04-02	11531974	9543995	13710024	9121	4 week lockdown
2021-04-03	11534287	9520123	13796413	2313	4 week lockdown
2021-04-04	11539642	9475723	13861818	5355	4 week lockdown
2021-04-05	11544797	9566655	13742938	5155	4 week lockdown
2021-04-06	11544818	9462684	13817532	21	4 week lockdown
2021-04-07	11550346	9507890	13910451	5528	4 week lockdown
2021-04-08	11555173	9312012	13979537	4827	4 week lockdown
2021-04-09	11557636	9310365	14042395	2463	4 week lockdown
2021-04-10	11555527	9339576	13993590	-2109	4 week lockdown
2021-04-11	11560997	9363569	14148949	5470	4 week lockdown
2021-04-12	11566621	9297205	14110412	5624	4 week lockdown
2021-04-13	11568171	9212511	14180082	1550	4 week lockdown
2021-04-14	11579523	9166282	14267161	11352	4 week lockdown
2021-04-15	11586385	9155594	14236365	6862	4 week lockdown
2021-04-16	11587002	9058265	14321747	617	4 week lockdown
2021-04-17	11586111	9067650	14397365	-891	4 week lockdown
2021-04-18	11598744	9019982	14368716	12633	4 week lockdown
2021-04-19	11604945	9042353	14409609	6201	4 week lockdown
2021-04-20	11608511	8938447	14504909	3566	4 week lockdown
2021-04-21	11608586	8933356	14559991	75	4 week lockdown
2021-04-22	11609917	8840370	14590345	1331	4 week lockdown
2021-04-23	11611361	8892690	14528356	1444	4 week lockdown
2021-04-24	11615259	8900861	14628634	3898	4 week lockdown
2021-04-25	11618607	8766777	14680900	3348	4 week lockdown
2021-04-26	11617046	8851382	14614957	-1561	4 week lockdown
2021-04-27	11618776	8730917	14583230	1730	4 week lockdown
2021-04-28	11622104	8811691	14659970	3328	4 week lockdown
2021-04-29	11617873	8778870	14640777	-4231	4 week lockdown
2021-04-30	11621770	8712931	14776753	3897	4 week lockdown
2021-05-01	11627027	8633043	14797305	5257	4 week lockdown
2021-05-02	11629070	8778519	14881385	2043	4 week lockdown
2021-05-03	11631351	8651698	14861599	2281	4 week lockdown
2021-05-04	11636126	8640313	14917665	4775	4 week lockdown
2021-05-05	11638742	8572652	14879722	2616	4 week lockdown
2021-05-06	11639733	8572622	15032245	991	4 week lockdown
2021-05-07	11640105	8539083	15049246	372	4 week lockdown
2021-05-08	11646209	8609177	15020111	6104	4 week lockdown
2021-05-09	11646411	8589853	15040033	202	4 week lockdown
2021-05-10	11648616	8600222	15091222	2205	4 week lockdown
2021-05-11	11651450	8476655	15215284	2834	4 week lockdown
2021-05-12	11652682	8545444	15194389	1232	4 week lockdown
2021-05-13	11652966	8409028	15177745	284	4 week lockdown
2021-05-14	11659371	8424734	15373138	6405	4 week lockdown
2021-05-15	11668239	8339970	15353571	8868	4 week lockdown
2021-05-16	11678542	8486542	15479235	10303	4 week lockdown
2021-05-17	11670953	8363018	15476230	-7589	4 week lockdown
2021-05-18	11672802	8356420	15431122	1849	4 week lockdown
2021-05-19	11673929	8322539	15556534	1127	4 week lockdown
2021-05-20	11675147	8321882	15552891	1218	4 week lockdown
2021-05-21	11677731	8361681	15532647	2584	4 week lockdown
2021-05-22	11688107	8316891	15591326	10376	4 week lockdown
2021-05-23	11695177	8257873	15620219	7070	4 week lockdown
2021-05-24	11694327	8272901	15671457	-850	4 week lockdown
2021-05-25	11707878	8319524	15697601	13551	4 week lockdown
2021-05-26	11701385	8283255	15723368	-6493	4 week lockdown
2021-05-27	11697823	8228416	15827182	-3562	4 week lockdown
2021-05-28	11698009	8237921	15821248	186	4 week lockdown
2021-05-29	11709021	8165902	15787544	11012	4 week lockdown
2021-05-30	11707899	8175633	15923615	-1122	4 week lockdown
2021-05-31	11716129	8199081	15947547	8230	4 week lockdown
2021-06-01	11718499	8131635	15935779	2370	4 week lockdown
2021-06-02	11727256	8131066	15977786	8757	4 week lockdown
2021-06-03	11725756	8091900	15979369	-1500	4 week lockdown
2021-06-04	11725222	8178620	16046716	-534	4 week lockdown
2021-06-05	11726334	8081369	16016295	1112	4 week lockdown
2021-06-06	11728951	8033594	16178069	2617	4 week lockdown
2021-06-07	11730195	8036674	16096024	1244	4 week lockdown
2021-06-08	11731892	8047440	16207041	1697	4 week lockdown
2021-06-09	11735091	7956679	16134535	3199	4 week lockdown
2021-06-10	11743013	7960806	16247654	7922	4 week lockdown
2021-06-11	11748211	7911720	16233164	5198	4 week lockdown
2021-06-12	11758108	7938247	16318407	9897	4 week lockdown
2021-06-13	11758257	7924753	16322591	149	4 week lockdown
2021-06-14	11763162	7931730	16474335	4905	4 week lockdown
2021-06-15	11760565	7910317	16452483	-2597	4 week lockdown
2021-06-16	11754803	7898130	16445182	-5762	4 week lockdown
2021-06-17	11761575	7816532	16565407	6772	4 week lockdown
2021-06-18	11759720	7850331	16545101	-1855	4 week lockdown
2021-06-19	11767985	7813915	16578542	8265	4 week lockdown
2021-06-20	11780176	7867355	16507384	12191	4 week lockdown
2021-06-21	11783916	7846974	16688632	3740	4 week lockdown
2021-06-22	11787657	7835371	16758211	3741	4 week lockdown
2021-06-23	11784407	7747815	16828600	-3250	4 week lockdown
2021-06-24	11781743	7788193	16892525	-2664	4 week lockdown
2021-06-25	11782459	7702870	16767278	716	4 week lockdown
2021-06-26	11789645	7688350	16940607	7186	4 week lockdown
2021-06-27	11794440	7689043	17022543	4795	4 week lockdown
2021-06-28	11795246	7645811	17015119	806	4 week lockdown
2021-06-29	11794991	7663225	16880225	-255	4 week lockdown
2021-06-30	11793127	7630802	17002576	-1864	4 week lockdown
2021-07-01	11798514	7613367	17094799	5387	4 week lockdown
2021-07-02	11807643	7642774	16985519	9129	4 week lockdown
2021-07-03	11814180	7696372	17018428	6537	4 week lockdown
2021-07-04	11822483	7730651	17113830	8303	4 week lockdown
2021-07-05	11828802	7723236	17113078	6319	4 week lockdown
2021-07-06	11835511	7731602	17203912	6709	4 week lockdown
2021-07-07	11841854	7675028	17180252	6343	4 week lockdown
2021-07-08	11843726	7610291	17280526	1872	4 week lockdown
2021-07-09	11846717	7617022	17264396	2991	4 week lockdown
2021-07-10	11846396	7587027	17282575	-321	4 week lockdown
2021-07-11	11849089	7618812	17291872	2693	4 week lockdown
2021-07-12	11853869	7640769	17211145	4780	4 week lockdown
2021-07-13	11857502	7581482	17432024	3633	4 week lockdown
2021-07-14	11862424	7610782	17384615	4922	4 week lockdown
2021-07-15	11863987	7604127	17495662	1563	4 week lockdown
2021-07-16	11870143	7562520	17533829	6156	4 week lockdown
2021-07-17	11873028	7598099	17503959	2885	4 week lockdown
2021-07-18	11886576	7554436	17620963	13548	4 week lockdown
2021-07-19	11887605	7480465	17613410	1029	4 week lockdown
2021-07-20	11892125	7505155	17742913	4520	4 week lockdown
2021-07-21	11904857	7496393	17866012	12732	4 week lockdown
2021-07-22	11909357	7605134	17852076	4500	4 week lockdown
2021-07-23	11912985	7543763	17722527	3628	4 week lockdown
