date	value	lower_ci	upper_ci	incidence	scenario
2021-03-01	11116491	10394855	11867034	NA	Informed
2021-03-02	11123233	10293401	11996750	6742	Informed
2021-03-03	11129873	10208502	12104063	6640	Informed
2021-03-04	11136189	10123117	12206087	6316	Informed
2021-03-05	11142903	10055574	12301046	6714	Informed
2021-03-06	11148887	9989068	12393765	5984	Informed
2021-03-07	11156140	9933328	12477714	7253	Informed
2021-03-08	11162792	9872834	12558782	6652	Informed
2021-03-09	11168053	9814419	12631451	5261	Informed
2021-03-10	11173660	9766052	12696601	5607	Informed
2021-03-11	11179494	9719735	12775662	5834	Informed
2021-03-12	11184896	9667137	12838539	5402	Informed
2021-03-13	11190701	9623422	12910879	5805	Informed
2021-03-14	11195785	9585782	12970068	5084	Informed
2021-03-15	11199584	9541952	13031750	3799	Informed
2021-03-16	11203571	9498691	13092142	3987	Informed
2021-03-17	11207814	9468117	13145585	4243	Informed
2021-03-18	11211573	9427225	13204000	3759	Informed
2021-03-19	11214706	9389748	13258832	3133	Informed
2021-03-20	11218133	9356048	13309526	3427	Informed
2021-03-21	11222090	9319824	13363530	3957	Informed
2021-03-22	11225191	9290550	13408006	3101	Informed
2021-03-23	11228366	9256649	13460607	3175	Informed
2021-03-24	11231678	9225610	13503277	3312	Informed
2021-03-25	11234803	9198287	13550378	3125	Informed
2021-03-26	11238021	9172163	13604783	3218	Informed
2021-03-27	11240764	9147445	13647384	2743	Informed
2021-03-28	11243787	9113175	13689873	3023	Informed
2021-03-29	11246214	9086280	13730298	2427	Informed
2021-03-30	11248527	9053910	13770425	2313	Informed
2021-03-31	11249889	9027152	13808325	1362	Informed
2021-04-01	11251555	9000701	13848840	1666	Informed
2021-04-02	11253887	8972468	13891928	2332	Informed
2021-04-03	11256032	8949380	13924710	2145	Informed
2021-04-04	11257261	8918097	13975702	1229	Informed
2021-04-05	11259606	8894233	14015422	2345	Informed
2021-04-06	11261555	8869938	14050485	1949	Informed
2021-04-07	11263396	8847750	14085680	1841	Informed
2021-04-08	11265393	8815714	14125047	1997	Informed
2021-04-09	11266393	8793873	14155836	1000	Informed
2021-04-10	11267290	8761090	14189510	897	Informed
2021-04-11	11268697	8741438	14230774	1407	Informed
2021-04-12	11270467	8717609	14252676	1770	Informed
2021-04-13	11272276	8697775	14297468	1809	Informed
2021-04-14	11273657	8674777	14330454	1381	Informed
2021-04-15	11274128	8645699	14352306	471	Informed
2021-04-16	11276202	8632379	14389631	2074	Informed
2021-04-17	11277458	8609894	14429152	1256	Informed
2021-04-18	11278796	8583595	14457168	1338	Informed
2021-04-19	11279544	8567961	14489732	748	Informed
2021-04-20	11280461	8544352	14508331	917	Informed
2021-04-21	11282331	8525005	14551492	1870	Informed
2021-04-22	11283223	8507610	14576443	892	Informed
2021-04-23	11284036	8481266	14605114	813	Informed
2021-04-24	11285270	8458675	14652870	1234	Informed
2021-04-25	11286513	8437647	14663684	1243	Informed
2021-04-26	11288016	8421454	14701858	1503	Informed
2021-04-27	11289168	8392745	14725842	1152	Informed
2021-04-28	11290459	8378781	14757745	1291	Informed
2021-04-29	11291541	8360999	14782997	1082	Informed
2021-04-30	11292028	8341377	14813168	487	Informed
2021-05-01	11292785	8325438	14849721	757	Informed
2021-05-02	11294143	8302235	14874095	1358	Informed
2021-05-03	11296074	8287128	14902211	1931	Informed
2021-05-04	11296951	8264971	14927918	877	Informed
2021-05-05	11298499	8248707	14959180	1548	Informed
2021-05-06	11299248	8232246	14980623	749	Informed
2021-05-07	11300720	8208717	15005143	1472	Informed
2021-05-08	11301666	8192611	15031602	946	Informed
2021-05-09	11302172	8172635	15069809	506	Informed
2021-05-10	11304093	8151704	15093123	1921	Informed
2021-05-11	11304760	8139011	15109910	667	Informed
2021-05-12	11305494	8118607	15154057	734	Informed
2021-05-13	11306028	8103397	15163122	534	Informed
2021-05-14	11306993	8084404	15193111	965	Informed
2021-05-15	11307266	8077318	15210068	273	Informed
2021-05-16	11308252	8053425	15229603	986	Informed
2021-05-17	11309270	8039272	15253158	1018	Informed
2021-05-18	11310016	8015284	15284240	746	Informed
2021-05-19	11310696	8003082	15302108	680	Informed
2021-05-20	11311428	7980506	15338454	732	Informed
2021-05-21	11312670	7963961	15372929	1242	Informed
2021-05-22	11313156	7939146	15388657	486	Informed
2021-05-23	11313822	7925160	15413248	666	Informed
2021-05-24	11314351	7914089	15441582	529	Informed
2021-05-25	11314945	7893720	15472332	594	Informed
2021-05-26	11316140	7879346	15490645	1195	Informed
2021-05-27	11316929	7856019	15507106	789	Informed
2021-05-28	11317380	7840459	15533255	451	Informed
2021-05-29	11317929	7824266	15562781	549	Informed
2021-05-30	11318400	7807348	15587482	471	Informed
2021-05-31	11318864	7779563	15604657	464	Informed
2021-06-01	11320154	7766959	15635141	1290	Informed
2021-06-02	11320046	7749551	15653425	-108	Informed
2021-06-03	11321003	7733214	15677454	957	Informed
2021-06-04	11321619	7711254	15702602	616	Informed
2021-06-05	11322159	7707063	15733359	540	Informed
2021-06-06	11322315	7682618	15735449	156	Informed
2021-06-07	11322824	7675512	15754235	509	Informed
2021-06-08	11323502	7656507	15781590	678	Informed
2021-06-09	11324359	7649999	15809718	857	Informed
2021-06-10	11324162	7633278	15825174	-197	Informed
2021-06-11	11323968	7610277	15832904	-194	Informed
2021-06-12	11323727	7604586	15869684	-241	Informed
2021-06-13	11325062	7587513	15875475	1335	Informed
2021-06-14	11325098	7566505	15892571	36	Informed
2021-06-15	11325904	7551561	15919905	806	Informed
2021-06-16	11326232	7544451	15942793	328	Informed
2021-06-17	11326731	7525563	15968645	499	Informed
2021-06-18	11327652	7506772	15985043	921	Informed
2021-06-19	11328224	7490150	16005996	572	Informed
2021-06-20	11328713	7480611	16027617	489	Informed
2021-06-21	11329814	7468645	16060650	1101	Informed
2021-06-22	11330112	7442400	16065613	298	Informed
2021-06-23	11330100	7435524	16098178	-12	Informed
2021-06-24	11330180	7417881	16115840	80	Informed
2021-06-25	11330616	7410481	16116168	436	Informed
2021-06-26	11331522	7389050	16155361	906	Informed
2021-06-27	11331631	7374690	16177456	109	Informed
