date	value	lower_ci	upper_ci	incidence	scenario
2021-05-16	24920717	20709184	29516917	NA	Informed
2021-05-17	25185244	20237357	30741043	264527	Informed
2021-05-18	25458326	19830038	31879090	273082	Informed
2021-05-19	25738449	19489218	33083292	280123	Informed
2021-05-20	26034250	19184386	34305805	295801	Informed
2021-05-21	26339444	18909824	35547251	305194	Informed
2021-05-22	26657913	18635207	36816796	318469	Informed
2021-05-23	26983432	18407223	38200557	325519	Informed
2021-05-24	27319170	18213373	39541666	335738	Informed
2021-05-25	27668668	18008154	40995495	349498	Informed
2021-05-26	28026425	17832208	42572093	357757	Informed
2021-05-27	28398282	17635619	44208563	371857	Informed
2021-05-28	28786453	17498617	45900445	388171	Informed
2021-05-29	29190475	17345652	47791549	404022	Informed
2021-05-30	29610372	17199868	49748243	419897	Informed
2021-05-31	30045948	17069594	51747526	435576	Informed
2021-06-01	30501703	16941194	54054848	455755	Informed
2021-06-02	30970633	16815558	56388295	468930	Informed
2021-06-03	31467539	16674710	58885357	496906	Informed
2021-06-04	31989716	16577829	61560935	522177	Informed
2021-06-05	32532107	16418369	64479444	542391	Informed
2021-06-06	33100837	16320456	67528748	568730	Informed
2021-06-07	33698075	16258672	70705292	597238	Informed
2021-06-08	34315069	16148985	74220613	616994	Informed
2021-06-09	34962127	16078616	77808666	647058	Informed
2021-06-10	35640922	16020048	81762478	678795	Informed
2021-06-11	36348233	15929819	86142877	707311	Informed
2021-06-12	37085271	15795865	90412046	737038	Informed
2021-06-13	37855859	15743170	95350657	770588	Informed
2021-06-14	38663087	15651206	100377793	807228	Informed
2021-06-15	39505985	15582907	105638903	842898	Informed
2021-06-16	40381795	15503444	111524172	875810	Informed
2021-06-17	41301711	15427181	117450676	919916	Informed
2021-06-18	42252515	15393768	123981962	950804	Informed
2021-06-19	43243136	15302930	130677424	990621	Informed
2021-06-20	44265875	15255338	137899189	1022739	Informed
2021-06-21	45332369	15197556	145381448	1066494	Informed
2021-06-22	46434947	15176482	153594717	1102578	Informed
2021-06-23	47577126	15064203	161754136	1142179	Informed
2021-06-24	48762688	14970806	170946057	1185562	Informed
2021-06-25	49986225	14956149	180096405	1223537	Informed
2021-06-26	51244024	14849407	189827064	1257799	Informed
2021-06-27	52548573	14828947	199753927	1304549	Informed
2021-06-28	53895583	14745517	210698393	1347010	Informed
2021-06-29	55275473	14718228	221594598	1379890	Informed
2021-06-30	56693620	14679670	233460963	1418147	Informed
2021-07-01	58153321	14648187	245349878	1459701	Informed
2021-07-02	59651873	14605128	257288342	1498552	Informed
2021-07-03	61188085	14575179	269742775	1536212	Informed
2021-07-04	62757874	14523077	283234791	1569789	Informed
2021-07-05	64363954	14514994	296374535	1606080	Informed
2021-07-06	66003097	14509118	310869741	1639143	Informed
2021-07-07	67676723	14499373	324861074	1673626	Informed
2021-07-08	69388045	14470096	339230926	1711322	Informed
2021-07-09	71131912	14448146	354613110	1743867	Informed
2021-07-10	72905765	14393349	369432014	1773853	Informed
2021-07-11	74709167	14400219	385372013	1803402	Informed
2021-07-12	76544907	14350749	401051620	1835740	Informed
